iteration (1 iteration per second),distance (cm)
1,64.0
2,64.0
3,64.0
4,64.0
5,64.0
6,64.0
7,64.0
8,64.0
9,64.0
10,64.0
11,65.0
12,65.0
13,64.0
14,64.0
15,64.0
16,64.0
17,64.0
18,64.0
19,64.0
20,64.0
21,64.0
22,64.0
23,64.0
24,64.0
25,64.0
26,65.0
27,64.0
28,64.0
29,64.0
30,64.0
31,64.0
